nid,bid,pid,has_children,weight,depth,p1,p2,p3,p4,p5,p6,p7,p8,p9
e3eb7525-c70b-4eb3-ba2a-09629b01e4f2,e3eb7525-c70b-4eb3-ba2a-09629b01e4f2,0,1,0,1,e3eb7525-c70b-4eb3-ba2a-09629b01e4f2,0,0,0,0,0,0,0,0
f1cbdea9-9904-4260-8ad3-100c5f91c2e4,e3eb7525-c70b-4eb3-ba2a-09629b01e4f2,54eebc6c-ecdc-4044-b0f7-e64f94399fb7,1,-48,3,e3eb7525-c70b-4eb3-ba2a-09629b01e4f2,54eebc6c-ecdc-4044-b0f7-e64f94399fb7,f1cbdea9-9904-4260-8ad3-100c5f91c2e4,0,0,0,0,0,0
b29b6af9-ba40-4f8f-943a-6db6f029fd6c,e3eb7525-c70b-4eb3-ba2a-09629b01e4f2,f1cbdea9-9904-4260-8ad3-100c5f91c2e4,0,-50,4,e3eb7525-c70b-4eb3-ba2a-09629b01e4f2,54eebc6c-ecdc-4044-b0f7-e64f94399fb7,f1cbdea9-9904-4260-8ad3-100c5f91c2e4,b29b6af9-ba40-4f8f-943a-6db6f029fd6c,0,0,0,0,0
6bf63b96-dc00-4987-af62-aaa80e1bc456,e3eb7525-c70b-4eb3-ba2a-09629b01e4f2,1c8fa2b2-d96b-456d-adcc-6c0b6fb54ce5,0,-48,4,e3eb7525-c70b-4eb3-ba2a-09629b01e4f2,54eebc6c-ecdc-4044-b0f7-e64f94399fb7,1c8fa2b2-d96b-456d-adcc-6c0b6fb54ce5,6bf63b96-dc00-4987-af62-aaa80e1bc456,0,0,0,0,0
33d679f5-96a0-4aca-8c3f-02756b4552ac,e3eb7525-c70b-4eb3-ba2a-09629b01e4f2,e3eb7525-c70b-4eb3-ba2a-09629b01e4f2,0,-48,2,e3eb7525-c70b-4eb3-ba2a-09629b01e4f2,33d679f5-96a0-4aca-8c3f-02756b4552ac,0,0,0,0,0,0,0
cf42a126-f67b-43aa-b2c6-2608b3d29b7e,e3eb7525-c70b-4eb3-ba2a-09629b01e4f2,1c8fa2b2-d96b-456d-adcc-6c0b6fb54ce5,0,-49,4,e3eb7525-c70b-4eb3-ba2a-09629b01e4f2,54eebc6c-ecdc-4044-b0f7-e64f94399fb7,1c8fa2b2-d96b-456d-adcc-6c0b6fb54ce5,cf42a126-f67b-43aa-b2c6-2608b3d29b7e,0,0,0,0,0
a749d3fc-f322-40e2-9221-4fb94317986d,e3eb7525-c70b-4eb3-ba2a-09629b01e4f2,e3eb7525-c70b-4eb3-ba2a-09629b01e4f2,0,-47,2,e3eb7525-c70b-4eb3-ba2a-09629b01e4f2,a749d3fc-f322-40e2-9221-4fb94317986d,0,0,0,0,0,0,0
340efc35-286c-4cca-ae0f-5a8bf1455e12,e3eb7525-c70b-4eb3-ba2a-09629b01e4f2,54eebc6c-ecdc-4044-b0f7-e64f94399fb7,0,-46,3,e3eb7525-c70b-4eb3-ba2a-09629b01e4f2,54eebc6c-ecdc-4044-b0f7-e64f94399fb7,340efc35-286c-4cca-ae0f-5a8bf1455e12,0,0,0,0,0,0
731da114-70c1-4619-8c54-53cfcb35e007,e3eb7525-c70b-4eb3-ba2a-09629b01e4f2,1c8fa2b2-d96b-456d-adcc-6c0b6fb54ce5,0,-47,4,e3eb7525-c70b-4eb3-ba2a-09629b01e4f2,54eebc6c-ecdc-4044-b0f7-e64f94399fb7,1c8fa2b2-d96b-456d-adcc-6c0b6fb54ce5,731da114-70c1-4619-8c54-53cfcb35e007,0,0,0,0,0
1c8fa2b2-d96b-456d-adcc-6c0b6fb54ce5,e3eb7525-c70b-4eb3-ba2a-09629b01e4f2,54eebc6c-ecdc-4044-b0f7-e64f94399fb7,1,-47,3,e3eb7525-c70b-4eb3-ba2a-09629b01e4f2,54eebc6c-ecdc-4044-b0f7-e64f94399fb7,1c8fa2b2-d96b-456d-adcc-6c0b6fb54ce5,0,0,0,0,0,0
